uq_ortho_gene_id	tax_id	prot_seq_id	uniprot_id	ensemble_gene_name	ncbi_gid	description
9796_0:000083	9796_0	FRA10AC1	F7D5L5		100061742	Protein FRA10AC1-like protein
9796_0:000084	9796_0	RIPK3			100054255	receptor-interacting serine/threonine-protein kinase 3 isoform X1
9796_0:000085	9796_0	DPP8	F7BC46		100053245	Dipeptidyl peptidase 8
9796_0:000086	9796_0	CFAP161			100067307	cilia- and flagella-associated protein 161
9796_0:000087	9796_0	SCG5	F6VTN3		100071769	Secretogranin V
9796_0:000088	9796_0	PDIA3			100056198	protein disulfide-isomerase A3
9796_0:000089	9796_0	VENTX			111772556	homeobox protein VENTX
9796_0:00008a	9796_0	OAZ2			100066770	ornithine decarboxylase antizyme 2
9796_0:00008b	9796_0	DNAJC17	F7DE12		100057200	DnaJ heat shock protein family (Hsp40) member C17
9796_0:00008c	9796_0	CALHM2			100059668	calcium homeostasis modulator protein 2
9796_0:00008d	9796_0	TIPIN	F6SQ20		100066048	TIPIN
9796_0:00008e	9796_0	LOC111768548			111768548	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1-like
9796_0:00008f	9796_0	BMS1			100056034	ribosome biogenesis protein BMS1 homolog
9796_0:000090	9796_0	LOC100072168	F7BL61		100072168	Olfactory receptor
9796_0:000091	9796_0	GLUD1			100064139	glutamate dehydrogenase 1, mitochondrial
9796_0:000092	9796_0	LOC100069641			100069641	uncharacterized protein LOC100069641 isoform X1
9796_0:000093	9796_0	NSMCE3			106782075	non-structural maintenance of chromosomes element 3 homolog
9796_0:000094	9796_0	EIF2AK4			100071494	eIF-2-alpha kinase GCN2 isoform X1
9796_0:000095	9796_0	LINS1	F7A4N1		100056717	Lines homolog 1
9796_0:000096	9796_0	LRRTM3			100062943	leucine-rich repeat transmembrane neuronal protein 3
9796_0:000097	9796_0	FAM204A			100058723	protein FAM204A isoform X1
9796_0:000098	9796_0	SIRT1			100072571	NAD-dependent protein deacetylase sirtuin-1 isoform X1
9796_0:000099	9796_0	LOC100052582			100052582	granzyme H-like
9796_0:00009a	9796_0	HPSE2			100070602	inactive heparanase-2 isoform X1
9796_0:00009b	9796_0	COX5A			100051391	cytochrome c oxidase subunit 5A, mitochondrial
9796_0:00009c	9796_0	RAK1	W0UV08		100072620	Ribonuclease A K1
9796_0:00009d	9796_0	TSPAN15			100063281	tetraspanin-15 isoform X1
9796_0:00009e	9796_0	ABHD12B			100066699	protein ABHD12B isoform X1
9796_0:00009f	9796_0	ASCC1	F7AZ56		100072800	Activating signal cointegrator 1 complex subuni 1-like protein
9796_0:0000a0	9796_0	GOT1	F7CDB4		100060793	Aspartate aminotransferase
9796_0:0000a1	9796_0	ALDH18A1	F6PT43		100061213	Delta-1-pyrroline-5-carboxylate synthase
9796_0:0000a2	9796_0	KBTBD13			100066512	kelch repeat and BTB domain-containing protein 13
9796_0:0000a3	9796_0	RPS27L			100067253	40S ribosomal protein S27-like
9796_0:0000a4	9796_0	OIT3			100063685	oncoprotein-induced transcript 3 protein isoform X1
9796_0:0000a5	9796_0	SMAD6			100033852	mothers against decapentaplegic homolog 6 isoform X1
9796_0:0000a6	9796_0	LOC111767719			111767719	uncharacterized protein LOC111767719
9796_0:0000a7	9796_0	SH3PXD2A			100059600	SH3 and PX domain-containing protein 2A isoform X6
9796_0:0000a8	9796_0	ARHGEF40			100072713	rho guanine nucleotide exchange factor 40 isoform X1
9796_0:0000a9	9796_0	OPALIN			100630111	opalin isoform X1
9796_0:0000aa	9796_0	INSM2			100146752	insulinoma-associated protein 2
9796_0:0000ab	9796_0	LOC102150610			102150610	collagen alpha-1(I) chain-like
9796_0:0000ac	9796_0	LOC100072752			100072752	olfactory receptor 4E1
9796_0:0000ad	9796_0	DTD2			100056036	putative D-tyrosyl-tRNA(Tyr) deacylase 2 isoform X1
9796_0:0000ae	9796_0	GDPGP1			100069039	GDP-D-glucose phosphorylase 1
9796_0:0000af	9796_0	ZNF219	F7AFT8		100059191	Zinc finger protein 219
9796_0:0000b0	9796_0	CIB2	F6SEN5		100060082	Calcium and integrin binding family member 2
9796_0:0000b1	9796_0	LOC100066811			100066811	uncharacterized protein LOC100066811
9796_0:0000b2	9796_0	CYP1A1			100062285	cytochrome P450 1A1
9796_0:0000b3	9796_0	LOC100058767			100058767	purine nucleoside phosphorylase
9796_0:0000b4	9796_0	C1H10orf53	F6T880		100051600	Chromosome 1 C10orf53 homolog
9796_0:0000b5	9796_0	SERF2			100070752	small EDRK-rich factor 2 isoform X1
9796_0:0000b6	9796_0	MYOZ1			100063980	myozenin-1
9796_0:0000b7	9796_0	TAF5			100059739	transcription initiation factor TFIID subunit 5
9796_0:0000b8	9796_0	RNASE12	F6TMR0		100058840	Ribonuclease A I1
9796_0:0000b9	9796_0	RYR3			100071830	ryanodine receptor 3
9796_0:0000ba	9796_0	LOC100071239			100071239	cytochrome P450 26C1
9796_0:0000bb	9796_0	TUBGCP2			100066555	gamma-tubulin complex component 2
9796_0:0000bc	9796_0	MAP4K5			100066454	mitogen-activated protein kinase kinase kinase kinase 5 isoform X1
9796_0:0000bd	9796_0	ENTPD7			100060757	ectonucleoside triphosphate diphosphohydrolase 7
9796_0:0000be	9796_0	PLA2G4F	F6S266		100071016	Phospholipase A2
9796_0:0000bf	9796_0	RAB8B	F7BFF5		100054073	RAB8B, member RAS oncogene family
9796_0:0000c0	9796_0	LOC100071951	F6X0E6		100071951	Olfactory receptor
9796_0:0000c1	9796_0	FBN1			100055741	fibrillin-1 isoform X1
9796_0:0000c2	9796_0	IL25			111768801	interleukin-25
9796_0:0000c3	9796_0	CNNM2			100059801	metal transporter CNNM2 isoform X1
9796_0:0000c4	9796_0	ARHGAP19			100070751	rho GTPase-activating protein 19 isoform X2
9796_0:0000c5	9796_0	KNSTRN	F6T184		100071423	Kinetochore localized astrin/SPAG5 binding protein
9796_0:0000c6	9796_0	SPG21	F6SFG0		100053578	SPG21, maspardin
9796_0:0000c7	9796_0	IFIT5			102147645	interferon-induced protein with tetratricopeptide repeats 5
9796_0:0000c8	9796_0	SHC4			100055699	SHC-transforming protein 4
9796_0:0000c9	9796_0	MKI67			100055048	proliferation marker protein Ki-67
9796_0:0000ca	9796_0	STRA6			100051799	receptor for retinol uptake STRA6 isoform X1
9796_0:0000cb	9796_0	TERB2	F7D4T2		100070595	Telomere repeat binding bouquet formation protein 2
9796_0:0000cc	9796_0	RTKN2			100072391	rhotekin-2 isoform X1
9796_0:0000cd	9796_0	LOC100053869			100053869	granzyme H
9796_0:0000ce	9796_0	MYH7	Q8MJU9		791234	Myosin-7
9796_0:0000cf	9796_0	FAM196A			100050001	protein FAM196A isoform X1
9796_0:0000d0	9796_0	LOC100072408	F7D758		100072408	Olfactory receptor
9796_0:0000d1	9796_0	PSD			100069969	PH and SEC7 domain-containing protein 1 isoform X1
9796_0:0000d2	9796_0	DAPK2			100066921	death-associated protein kinase 2 isoform X1
9796_0:0000d3	9796_0	NUTM1			100058132	NUT family member 1 isoform X1
9796_0:0000d4	9796_0	SORD			100070575	sorbitol dehydrogenase isoform X1
9796_0:0000d5	9796_0	RRP12	F7ANS3		100061050	Ribosomal RNA processing 12 homolog
9796_0:0000d6	9796_0	LOC100062005			100062005	olfactory receptor 13A1
9796_0:0000d7	9796_0	CIB1	F7CUM5		100053632	Calcium and integrin binding 1
9796_0:0000d8	9796_0	LOC100071996	F6Z387		100071996	Olfactory receptor
9796_0:0000d9	9796_0	PRKD1			100054964	serine/threonine-protein kinase D1 isoform X1
9796_0:0000da	9796_0	HDDC3	F6WPX6		100068953	HD domain containing 3
9796_0:0000db	9796_0	SHTN1	F7CL23		100067493	Shootin 1
9796_0:0000dc	9796_0	LOC100056197			100056197	LOW QUALITY PROTEIN: zinc finger protein OZF-like
9796_0:0000dd	9796_0	PNLIPRP3	F6RE01		100067785	Triacylglycerol lipase
9796_0:0000de	9796_0	SLC51B	F6T5W0		100053532	Solute carrier family 51 beta subunit
9796_0:0000df	9796_0	PLEKHA1			100058481	pleckstrin homology domain-containing family A member 1 isoform X1
9796_0:0000e0	9796_0	DHRS1			100051088	dehydrogenase/reductase SDR family member 1
9796_0:0000e1	9796_0	RAB27A	F6SEK7		100054867	RAB27A, member RAS oncogene family
9796_0:0000e2	9796_0	LPCAT4	F6U8M0		100071891	Lysophosphatidylcholine acyltransferase 4
9796_0:0000e3	9796_0	DHRS2			100055221	dehydrogenase/reductase SDR family member 2, mitochondrial isoform X1
9796_0:0000e4	9796_0	MINDY2			100068294	ubiquitin carboxyl-terminal hydrolase MINDY-2 isoform X1
9796_0:0000e5	9796_0	DCLRE1A			100068217	DNA cross-link repair 1A protein isoform X1
9796_0:0000e6	9796_0	PLAC9	F7AEI2		100073023	Placenta specific 9
9796_0:0000e7	9796_0	HMX3			100057903	homeobox protein HMX3
9796_0:0000e8	9796_0	CILP			100053337	cartilage intermediate layer protein 1
9796_0:0000e9	9796_0	WDR76			100070718	WD repeat-containing protein 76 isoform X1
9796_0:0000ea	9796_0	GHITM	F6Z8I4		100052687	Growth hormone inducible transmembrane protein
9796_0:0000eb	9796_0	LZTS2	F6ZIR0		100060415	Leucine zipper putative tumor suppressor 2
9796_0:0000ec	9796_0	TUBGCP4			100056364	gamma-tubulin complex component 4
9796_0:0000ed	9796_0	CCDC32			100071368	coiled-coil domain-containing protein 32 isoform X1
9796_0:0000ee	9796_0	SUFU	F7BUG6		100059929	Suppressor of fused homolog
9796_0:0000ef	9796_0	SEC11A			100053244	signal peptidase complex catalytic subunit SEC11A isoform X3
9796_0:0000f0	9796_0	AP3M1	F6VZC6		100064191	Adaptor related protein complex 3 mu 1 subunit
9796_0:0000f1	9796_0	HHEX			100071280	hematopoietically-expressed homeobox protein HHEX
9796_0:0000f2	9796_0	LOC100071675			100071675	gastric triacylglycerol lipase-like isoform X1
9796_0:0000f3	9796_0	C1H15orf41			100057596	uncharacterized protein C15orf41 homolog isoform X1
9796_0:0000f4	9796_0	ATP5S			100066369	ATP synthase subunit s, mitochondrial isoform X1
9796_0:0000f5	9796_0	DDX50			100063192	ATP-dependent RNA helicase DDX50 isoform X1
9796_0:0000f6	9796_0	UBE2Q2	F6ZPF7		100050645	Ubiquitin conjugating enzyme E2 Q2
9796_0:0000f7	9796_0	PTPN20			100063422	tyrosine-protein phosphatase non-receptor type 20 isoform X1
9796_0:0000f8	9796_0	ARRDC4			100055139	arrestin domain-containing protein 4
9796_0:0000f9	9796_0	LOC111775620			111775620	olfactory receptor 4F15-like
9796_0:0000fa	9796_0	PLCB2			100057315	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 isoform X1
9796_0:0000fb	9796_0	TOMM20			100058806	mitochondrial import receptor subunit TOM20 homolog
9796_0:0000fc	9796_0	LOC111775570			111775570	chromosome transmission fidelity protein 8 homolog
9796_0:0000fd	9796_0	CUTC	F7CSI5		100060685	CutC copper transporter
9796_0:0000fe	9796_0	BCCIP	F6QQH1		100056320	BRCA2 and CDKN1A-interacting protein
9796_0:0000ff	9796_0	CEP152			100147473	centrosomal protein of 152 kDa isoform X1
9796_0:000100	9796_0	ATL1			100066513	atlastin-1 isoform X1
9796_0:000101	9796_0	RPL36AL			100146851	60S ribosomal protein L36a-like
9796_0:000102	9796_0	TRUB1	F7C027		100058949	TruB pseudouridine synthase family member 1
9796_0:000103	9796_0	BMF			100057359	LOW QUALITY PROTEIN: bcl-2-modifying factor
9796_0:000104	9796_0	ACADSB			100057998	short/branched chain specific acyl-CoA dehydrogenase, mitochondrial isoform X2
9796_0:000105	9796_0	ZDHHC16	F6SMG2		100061023	Palmitoyltransferase
9796_0:000106	9796_0	ANK3			100062775	ankyrin-3 isoform X1
9796_0:000107	9796_0	LOC100630879			100630879	interferon-induced protein with tetratricopeptide repeats 1 isoform X1
9796_0:000108	9796_0	SECISBP2L			100070100	selenocysteine insertion sequence-binding protein 2-like isoform X1
9796_0:000109	9796_0	METTL17			100072699	methyltransferase-like protein 17, mitochondrial isoform X1
9796_0:00010a	9796_0	FAM227B			100070022	protein FAM227B isoform X1
9796_0:00010b	9796_0	LOC100072707	F6TAB0		100072707	Ribonuclease A E1
9796_0:00010c	9796_0	SNRPA1	F7BUX8		100050337	Small nuclear ribonucleoprotein polypeptide A'
9796_0:00010d	9796_0	C1H10orf88			100050410	uncharacterized protein C10orf88 homolog isoform X1
9796_0:00010e	9796_0	SLC24A5	F7BP61		100055828	Solute carrier family 24 member 5
9796_0:00010f	9796_0	NOVA1			100053830	RNA-binding protein Nova-1 isoform X1
9796_0:000110	9796_0	LOC100071974			100071974	olfactory receptor 4F15
9796_0:000111	9796_0	K9KBG0_HORSE;KIAA0391	F7A2G8		100057857	Mitochondrial ribonuclease P protein 3
9796_0:000112	9796_0	LOC100053921			100053921	cathepsin G
9796_0:000113	9796_0	PSTK			100050336	L-seryl-tRNA(Sec) kinase isoform X1
9796_0:000114	9796_0	HAPLN3			100069760	hyaluronan and proteoglycan link protein 3
9796_0:000115	9796_0	CHD2	F6Y8P1		100629986	Chromodomain helicase DNA binding protein 2
9796_0:000116	9796_0	ANXA7	F7ALC9		100072856	Annexin
9796_0:000117	9796_0	TMCO5A			100071633	transmembrane and coiled-coil domain-containing protein 5A isoform X1
9796_0:000118	9796_0	CEMIP			100053052	cell migration-inducing and hyaluronan-binding protein isoform X1
9796_0:000119	9796_0	NEMF			100065895	nuclear export mediator factor NEMF
9796_0:00011a	9796_0	IDE	F6ZM82		100071303	Insulin degrading enzyme
9796_0:00011b	9796_0	PPP1R3C	F7BNP5		100062004	Protein phosphatase 1 regulatory subunit
9796_0:00011c	9796_0	C2CD4B			111767566	C2 calcium-dependent domain-containing protein 4B isoform X1
9796_0:00011d	9796_0	STOML1	F7BUI0		100062776	Stomatin like 1
9796_0:00011e	9796_0	LOC102150068			102150068	uncharacterized protein LOC102150068 isoform X3
9796_0:00011f	9796_0	PRTG			100069087	protogenin
9796_0:000120	9796_0	ZFYVE27	F6TD27		100060913	Zinc finger FYVE-type containing 27
9796_0:000121	9796_0	SKOR1			100146887	SKI family transcriptional corepressor 1
9796_0:000122	9796_0	ARL3			100059896	ADP-ribosylation factor-like protein 3
9796_0:000123	9796_0	LOC102150068			102150068	uncharacterized protein LOC102150068 isoform X2
9796_0:000124	9796_0	RHOV			100146490	rho-related GTP-binding protein RhoV
9796_0:000125	9796_0	NIPA1			100146592	magnesium transporter NIPA1
9796_0:000126	9796_0	STARD9			100070948	stAR-related lipid transfer protein 9 isoform X1
9796_0:000127	9796_0	VCPKMT			100051676	protein-lysine methyltransferase METTL21D isoform X3
9796_0:000128	9796_0	NGDN	F7B0L1		100055307	Neuroguidin
9796_0:000129	9796_0	NPM3	F7CKP2		100060275	Nucleophosmin/nucleoplasmin 3
9796_0:00012a	9796_0	IPMK			100072153	inositol polyphosphate multikinase isoform X1
9796_0:00012b	9796_0	REC8			100054815	meiotic recombination protein REC8 homolog isoform X1
9796_0:00012c	9796_0	LOC100066808			100066808	olfactory receptor 6-like isoform X1
9796_0:00012d	9796_0	HERC2			100050955	E3 ubiquitin-protein ligase HERC2 isoform X1
9796_0:00012e	9796_0	ATL1			100066513	atlastin-1 isoform X3
9796_0:00012f	9796_0	MFSD13A	F7C0L4		100059957	Major facilitator superfamily domain containing 13A
9796_0:000130	9796_0	AAGAB	F6ZPT3		100052900	Alpha and gamma adaptin binding protein
9796_0:000131	9796_0	LOC100059068			100059068	interferon-induced protein with tetratricopeptide repeats 5-like
9796_0:000132	9796_0	SPATA5L1			100070495	spermatogenesis-associated protein 5-like protein 1
9796_0:000133	9796_0	LOC111767470			111767470	LOW QUALITY PROTEIN: putative zinc finger protein 487
9796_0:000134	9796_0	OR10G3			100072736	olfactory receptor 10G3
9796_0:000135	9796_0	ADAM12			100056196	disintegrin and metalloproteinase domain-containing protein 12
9796_0:000136	9796_0	HSPA12A			100067692	heat shock 70 kDa protein 12A isoform X1
9796_0:000137	9796_0	REM2			100146499	GTP-binding protein REM 2 isoform X1
9796_0:000138	9796_0	HYKK			100060343	hydroxylysine kinase isoform X1
9796_0:000139	9796_0	APEX1	F6ZB53		100072588	DNA-(apurinic or apyrimidinic site) lyase
9796_0:00013a	9796_0	ANKRD1	F6WQ90		100071482	Ankyrin repeat domain 1
9796_0:00013b	9796_0	GLRX3			100053051	glutaredoxin-3
9796_0:00013c	9796_0	ZCCHC24			100073019	zinc finger CCHC domain-containing protein 24 isoform X1
9796_0:00013d	9796_0	CCDC172			100058872	coiled-coil domain-containing protein 172 isoform X1
9796_0:00013e	9796_0	LOC111769621			111769621	deleted in malignant brain tumors 1 protein-like
9796_0:00013f	9796_0	INA			100059769	alpha-internexin
